"pared0","pared1","public1","gpa2.5","gpa3","gpa3.5","gpa4","apply"
1,0,0,1,0,0,0,1
0,1,0,0,1,0,0,0
1,0,0,0,1,0,0,1
0,1,0,1,0,0,0,0
0,1,1,0,1,0,0,1
0,1,1,0,0,1,0,0
1,0,0,0,1,0,0,0
1,0,1,0,1,0,0,1
0,1,0,0,0,1,0,1
0,1,0,1,0,0,0,1
0,1,0,0,1,0,0,1
1,0,0,0,1,0,0,0
1,0,0,1,0,0,0,1
1,0,0,1,0,0,0,1
1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,1
1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,1
1,0,0,0,0,1,0,1
1,0,0,0,1,0,0,1
1,0,0,1,0,0,0,0
1,0,0,0,1,0,0,1
1,0,0,0,0,1,0,1
1,0,0,0,1,0,0,1
1,0,0,0,0,1,0,1
1,0,0,0,0,1,0,1
1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0
1,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0
1,0,1,0,1,0,0,0
1,0,0,0,0,1,0,0
1,0,0,0,1,0,0,1
0,1,0,0,1,0,0,1
1,0,0,1,0,0,0,1
0,1,1,0,0,0,1,0
1,0,1,0,0,1,0,0
0,1,0,0,1,0,0,1
0,1,0,0,1,0,0,1
1,0,0,0,1,0,0,0
1,0,0,0,0,0,0,0
1,0,0,1,0,0,0,1
1,0,0,0,0,1,0,1
1,0,0,0,1,0,0,1
1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0
1,0,1,0,1,0,0,0
1,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0
1,0,0,0,1,0,0,0
1,0,0,1,0,0,0,0
1,0,0,0,1,0,0,0
1,0,1,0,0,1,0,0
1,0,1,0,1,0,0,0
1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,1
1,0,0,0,1,0,0,0
1,0,0,0,0,0,1,1
1,0,0,0,1,0,0,1
1,0,1,0,1,0,0,0
1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0
1,0,0,1,0,0,0,1
1,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0
0,1,0,0,0,1,0,1
1,0,1,1,0,0,0,0
1,0,0,0,1,0,0,0
0,1,0,0,0,1,0,0
0,1,0,0,0,1,0,0
1,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0
0,1,0,0,1,0,0,1
0,1,0,0,0,1,0,1
1,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0
1,0,0,0,0,1,0,1
1,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0
1,0,1,0,0,1,0,1
1,0,0,0,0,1,0,0
0,1,1,0,0,1,0,1
1,0,0,0,1,0,0,1
0,1,0,0,0,1,0,1
1,0,1,0,1,0,0,1
0,1,0,0,1,0,0,1
1,0,0,0,1,0,0,0
1,0,1,0,1,0,0,1
1,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0
0,1,1,0,1,0,0,0
1,0,0,1,0,0,0,0
1,0,1,0,1,0,0,1
1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,1
1,0,1,1,0,0,0,0
1,0,0,0,1,0,0,1
1,0,0,1,0,0,0,0
1,0,0,0,1,0,0,1
0,1,0,0,1,0,0,1
1,0,0,0,0,1,0,0
1,0,0,1,0,0,0,1
1,0,0,0,1,0,0,0
1,0,1,0,0,0,1,1
1,0,0,0,1,0,0,1
1,0,0,1,0,0,0,0
1,0,0,0,1,0,0,0
1,0,0,0,0,0,0,0
1,0,0,0,0,1,0,1
1,0,0,1,0,0,0,0
1,0,0,0,1,0,0,0
1,0,1,1,0,0,0,0
1,0,0,0,0,1,0,0
0,1,0,0,0,1,0,1
1,0,0,1,0,0,0,0
1,0,0,0,1,0,0,1
1,0,0,1,0,0,0,0
1,0,0,0,1,0,0,1
0,1,1,0,1,0,0,1
1,0,0,0,0,1,0,0
1,0,0,1,0,0,0,0
1,0,0,0,0,1,0,0
1,0,0,1,0,0,0,1
1,0,0,1,0,0,0,1
0,1,0,1,0,0,0,0
1,0,0,0,0,1,0,0
1,0,0,1,0,0,0,1
1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,1
1,0,0,0,1,0,0,0
0,1,0,0,1,0,0,1
0,1,0,0,1,0,0,1
1,0,0,0,1,0,0,0
1,0,0,0,0,1,0,1
1,0,0,0,1,0,0,0
0,1,1,0,1,0,0,0
1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,1
1,0,0,0,1,0,0,1
1,0,0,1,0,0,0,0
1,0,0,1,0,0,0,1
1,0,0,0,0,0,1,0
1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,1
1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,1
1,0,0,1,0,0,0,1
1,0,0,1,0,0,0,1
1,0,0,1,0,0,0,0
1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0
1,0,0,1,0,0,0,0
1,0,0,0,1,0,0,0
1,0,0,1,0,0,0,1
1,0,0,0,1,0,0,0
1,0,0,0,0,1,0,1
1,0,0,0,1,0,0,1
1,0,0,1,0,0,0,0
1,0,0,0,1,0,0,0
1,0,0,0,0,0,0,1
0,1,0,0,1,0,0,1
1,0,0,1,0,0,0,0
1,0,1,1,0,0,0,1
1,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0
1,0,1,0,1,0,0,0
1,0,1,0,0,1,0,0
1,0,0,0,0,1,0,0
1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,1
1,0,0,0,1,0,0,1
0,1,0,0,0,1,0,1
1,0,0,1,0,0,0,1
1,0,0,0,1,0,0,0
1,0,0,0,0,0,0,0
0,1,0,0,1,0,0,1
1,0,0,0,1,0,0,0
1,0,0,1,0,0,0,1
1,0,1,0,0,1,0,0
1,0,0,0,1,0,0,1
1,0,0,1,0,0,0,1
1,0,0,1,0,0,0,0
1,0,0,0,0,1,0,1
1,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0
1,0,0,0,1,0,0,1
1,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0
1,0,0,0,1,0,0,1
0,1,0,0,1,0,0,1
1,0,0,1,0,0,0,0
0,1,1,0,0,1,0,0
1,0,0,1,0,0,0,1
1,0,0,1,0,0,0,0
0,1,1,0,0,1,0,1
1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0
1,0,0,1,0,0,0,0
1,0,0,0,1,0,0,0
1,0,0,0,0,1,0,1
1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0
1,0,0,1,0,0,0,1
1,0,0,0,0,0,0,0
1,0,0,0,1,0,0,1
1,0,0,1,0,0,0,1
1,0,0,1,0,0,0,0
0,1,0,0,1,0,0,0
1,0,0,0,1,0,0,1
1,0,0,1,0,0,0,0
1,0,0,1,0,0,0,0
1,0,0,1,0,0,0,0
1,0,0,1,0,0,0,1
1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,1
1,0,0,0,1,0,0,1
1,0,0,0,0,1,0,1
1,0,0,1,0,0,0,1
1,0,0,0,1,0,0,0
1,0,1,0,0,0,1,1
1,0,0,0,0,1,0,1
1,0,0,0,1,0,0,0
1,0,1,1,0,0,0,0
1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0
1,0,0,1,0,0,0,0
1,0,0,1,0,0,0,0
1,0,0,0,1,0,0,0
1,0,0,1,0,0,0,0
1,0,0,0,1,0,0,0
1,0,0,1,0,0,0,0
0,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,1
1,0,0,0,1,0,0,0
1,0,0,1,0,0,0,1
1,0,0,0,0,1,0,0
1,0,0,0,1,0,0,0
0,1,1,0,0,0,1,0
1,0,0,1,0,0,0,1
1,0,1,0,1,0,0,0
1,0,1,0,1,0,0,0
1,0,0,0,0,1,0,1
1,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0
1,0,0,1,0,0,0,0
1,0,0,1,0,0,0,0
0,1,0,1,0,0,0,1
1,0,0,0,1,0,0,1
1,0,0,0,1,0,0,1
1,0,0,0,1,0,0,0
0,1,1,0,0,0,1,1
1,0,0,1,0,0,0,0
1,0,0,0,0,1,0,0
0,1,0,0,1,0,0,1
1,0,0,0,0,0,0,0
1,0,0,0,0,1,0,1
1,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0
1,0,1,0,0,1,0,1
1,0,0,1,0,0,0,0
1,0,0,0,0,1,0,1
1,0,0,1,0,0,0,1
1,0,0,1,0,0,0,1
1,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0
1,0,0,0,0,1,0,1
0,1,1,0,0,1,0,1
1,0,0,0,1,0,0,0
0,1,0,0,0,1,0,1
1,0,0,1,0,0,0,0
1,0,0,1,0,0,0,0
1,0,1,0,0,1,0,0
1,0,0,0,1,0,0,0
